MachineCode; ColorMixingTime    ; BatchNumber      ; BucketQuantity; BucketNo; BasePaintCode; BasePaintName; ProductCode                    ; ProductName                    ; ColorCardCode                   ; ColorCardName; SeriesCode             ; SeriesName             ; CustomerName; Address; City    ; PhoneNo; Email; Zipcode; RGB     ; BasePaintUsedAmount; FillingVolume; UnitName; OriginalType; PaintType       ; FormulaDiscount; FormulaCreateDate  ; Remark                                               ; Barcode; Result; ResultMessage                                                                                                     ; Band; ColorantsCode1; ColorantsName1; RGB1    ; UsedAmount1; FinalUsedAmount1; ColorantsCode2; ColorantsName2; RGB2    ; UsedAmount2; FinalUsedAmount2; ColorantsCode3; ColorantsName3; RGB3    ; UsedAmount3; FinalUsedAmount3; ColorantsCode4; ColorantsName4; RGB4    ; UsedAmount4; FinalUsedAmount4; ColorantsCode5; ColorantsName5; RGB5; UsedAmount5; FinalUsedAmount5; ColorantsCode6; ColorantsName6; RGB6; UsedAmount6; FinalUsedAmount6; ColorantsCode7; ColorantsName7; RGB7; UsedAmount7; FinalUsedAmount7; ShopNumber; ShopName; ShopPhone; ShopContact; ShopPerson; ShopPersonMobile; ShopMachine
A3-HS      ; 05/02/2026 09:27:23; 20260502092723048;              1;        1; A            ; A            ; Verginia PREMIUM Fosco         ; Verginia PREMIUM Fosco         ; CEU DO AMANHECER-SUV            ; B518         ; SUVINIL                ; SUVINIL                ;             ;        ;         ;        ;      ;        ; 15002078;            16000   ;       16     ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; 0     ;                                                                                                                   ;     ; JO            ; JO            ;    39372;       1.257;            1.257; NO            ; NO            ;        0;       6.583;            6.583; VR            ; VR            ;    26112;       3.415;            3.415;               ;               ;         ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 04/29/2026 09:23:04; 20260429092304523;              1;        1; A            ; A            ; Verginia PREMIUM Fosco         ; Verginia PREMIUM Fosco         ; CROMIO-SUV                      ; B161         ; SUVINIL                ; SUVINIL                ;             ;        ;         ;        ;      ;        ; 13226194;             3200   ;        3.2   ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; 0     ;                                                                                                                   ;     ; JO            ; JO            ;    39372;       5.971;            5.971; RH            ; RH            ;     9366;       0.417;            0.417; NO            ; NO            ;        0;       9.928;            9.928;               ;               ;         ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 04/27/2026 15:25:09; 20260427152509799;              1;        1; A            ; A            ; Verginia STANDARD Fosco        ; Verginia STANDARD Fosco        ; ACERTO                          ; ACERTO       ;                        ;                        ; VERGINIA    ;        ; CURITIBA;        ;      ;        ;        0;            11000   ;       11     ; L       ;            2; DefaultPaintType;               0; 04/27/2026 15:21:29; ACERTO J                                             ;        ; 0     ;                                                                                                                   ;     ; JO            ; JO            ;    39372;      30.556;           30.556; NO            ; NO            ;        0;       6.111;            6.111;               ;               ;         ;            ;                 ;               ;               ;         ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 04/27/2026 15:23:32; 20260427152332993;              1;        1; A            ; A            ; Verginia STANDARD Fosco        ; Verginia STANDARD Fosco        ; ACERTO                          ; ACERTO       ;                        ;                        ; VERGINIA    ;        ; CURITIBA;        ;      ;        ;        0;             3600   ;        3.6   ; L       ;            2; DefaultPaintType;               0; 04/27/2026 15:21:29; ACERTO J                                             ;        ; 0     ;                                                                                                                   ;     ; JO            ; JO            ;    39372;      10    ;           10    ; NO            ; NO            ;        0;       2    ;            2    ;               ;               ;         ;            ;                 ;               ;               ;         ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 04/27/2026 14:40:07; 20260427144007777;              1;        1; A            ; A            ; Verginia STANDARD Fosco        ; Verginia STANDARD Fosco        ; PAPEL DE SEDA-SUV               ; A208         ; SUVINIL                ; SUVINIL                ;             ;        ;         ;        ;      ;        ; 14148067;            16000   ;       16     ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; 0     ;                                                                                                                   ;     ; JO            ; JO            ;    39372;      19.988;           19.988; RH            ; RH            ;     9366;       0.497;            0.497; NO            ; NO            ;        0;      17.135;           17.135;               ;               ;         ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 04/25/2026 13:02:53; 20260425130253493;              1;        1; C            ; C            ; Verginia ESMALTE h2o BRILHANTE ; Verginia ESMALTE h2o BRILHANTE ; PRETO ABSOLUTO-SUV              ; R756         ; SUVINIL                ; SUVINIL                ;             ;        ;         ;        ;      ;        ;  4144700;              800   ;        0.8   ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; 0     ;                                                                                                                   ;     ; BE            ; BE            ; 10485760;       5.088;            5.088; BA            ; BA            ; 16777215;       0.753;            0.753; NO            ; NO            ;        0;      87.589;           87.589; VI            ; VI            ;  5189455;       0.064;            0.064;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 04/25/2026 13:02:22; 20260425130222691;              1;        1; C            ; C            ; Verginia ESMALTE h2o BRILHANTE ; Verginia ESMALTE h2o BRILHANTE ; PRETO ABSOLUTO-SUV              ; R756         ; SUVINIL                ; SUVINIL                ;             ;        ;         ;        ;      ;        ;  4144700;              800   ;        0.8   ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; -1    ; E18 : Base-paint canister has been moved away Please don't move base-paint canister before dispensing is finished.;     ; BE            ; BE            ; 10485760;       5.088;            0    ; BA            ; BA            ; 16777215;       0.753;            0    ; NO            ; NO            ;        0;      87.589;            0    ; VI            ; VI            ;  5189455;       0.064;            0    ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 04/25/2026 12:10:05; 20260425121005179;              1;        1; A            ; A            ; Verginia PREMIUM Fosco         ; Verginia PREMIUM Fosco         ; PAPEL PICADO-SUV                ; B148         ; SUVINIL                ; SUVINIL                ;             ;        ;         ;        ;      ;        ; 13095896;             3200   ;        3.2   ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; 0     ;                                                                                                                   ;     ; JO            ; JO            ;    39372;       8.505;            8.505; RH            ; RH            ;     9366;       0.521;            0.521; NO            ; NO            ;        0;       7.116;            7.116;               ;               ;         ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 04/25/2026 12:09:33; 20260425120933253;              1;        1; A            ; A            ; Verginia PREMIUM Fosco         ; Verginia PREMIUM Fosco         ; PAPEL PICADO-SUV                ; B148         ; SUVINIL                ; SUVINIL                ;             ;        ;         ;        ;      ;        ; 13095896;             3200   ;        3.2   ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; -1    ; Abort : Abort Job                                                                                                 ;     ; JO            ; JO            ;    39372;       8.505;            0    ; RH            ; RH            ;     9366;       0.521;            0    ; NO            ; NO            ;        0;       7.116;            0    ;               ;               ;         ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 04/25/2026 12:05:04; 20260425120504820;              1;        1; A            ; A            ; Verginia PREMIUM Fosco         ; Verginia PREMIUM Fosco         ; PERGAMINHO-SUV                  ; P208         ; SUVINIL                ; SUVINIL                ;             ;        ;         ;        ;      ;        ; 14212830;             3200   ;        3.2   ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; 0     ;                                                                                                                   ;     ; JO            ; JO            ;    39372;       1.988;            1.988; NO            ; NO            ;        0;       4.263;            4.263; OP            ; OP            ;  3373284;       0.398;            0.398;               ;               ;         ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 04/24/2026 15:21:38; 20260424152138807;              1;        1; A            ; A            ; Verginia PREMIUM Fosco         ; Verginia PREMIUM Fosco         ; PALHA-RM010-SUV                 ; RM010        ; SUVINIL                ; SUVINIL                ;             ;        ;         ;        ;      ;        ; 13032682;             3200   ;        3.2   ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; 0     ;                                                                                                                   ;     ; JO            ; JO            ;    39372;      11.693;           11.693; RH            ; RH            ;     9366;       0.381;            0.381; NO            ; NO            ;        0;       1.66 ;            1.66 ;               ;               ;         ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 04/24/2026 09:10:44; 20260424091044500;              1;        1; A            ; A            ; Verginia PREMIUM Fosco         ; Verginia PREMIUM Fosco         ; PEROLA ROSA-SUV                 ; A098         ; SUVINIL                ; SUVINIL                ;             ;        ;         ;        ;      ;        ; 13815784;             3200   ;        3.2   ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; 0     ;                                                                                                                   ;     ; RH            ; RH            ;     9366;       1.909;            1.909; NO            ; NO            ;        0;       0.174;            0.174; BP            ; BP            ; 16711807;       6.943;            6.943;               ;               ;         ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 04/24/2026 09:08:24; 20260424090824035;              1;        1; A            ; A            ; Verginia PREMIUM Fosco         ; Verginia PREMIUM Fosco         ; PEROLA ROSA-SUV                 ; A098         ; SUVINIL                ; SUVINIL                ;             ;        ;         ;        ;      ;        ; 13815784;             3200   ;        3.2   ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; -1    ; E18 : Base-paint canister has been moved away Please don't move base-paint canister before dispensing is finished.;     ; RH            ; RH            ;     9366;       1.909;            0    ; NO            ; NO            ;        0;       0.174;            0    ; BP            ; BP            ; 16711807;       6.943;            0    ;               ;               ;         ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 04/24/2026 08:39:39; 20260424083939001;              1;        1; A            ; A            ; Verginia PREMIUM Fosco         ; Verginia PREMIUM Fosco         ; ALGODAO EGIPCIO-RM009-SUV       ; RM009        ; SUVINIL                ; SUVINIL                ;             ;        ;         ;        ;      ;        ; 13754858;             3200   ;        3.2   ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; -1    ; Abort : Abort Job                                                                                                 ;     ; JO            ; JO            ;    39372;       6.144;            0    ; RH            ; RH            ;     9366;       0.232;            0    ; NO            ; NO            ;        0;       1.553;            0    ;               ;               ;         ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 04/23/2026 15:18:33; 20260423151833169;              1;        1; A            ; A            ; Verginia PREMIUM Fosco         ; Verginia PREMIUM Fosco         ; CINZA GEADA 30GG52/011          ; 30GG52/011   ; CORAL Dulux            ; CORAL Dulux            ;             ;        ;         ;        ;      ;        ; 12303801;            16000   ;       16     ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; 0     ;                                                                                                                   ;     ; JO            ; JO            ;    39372;      32.978;           32.978; RH            ; RH            ;     9366;       1.736;            1.736; NO            ; NO            ;        0;     153.609;          153.609;               ;               ;         ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 04/20/2026 17:17:21; 20260420171721588;              1;        1; C            ; C            ; Verginia PREMIUM Fosco         ; Verginia PREMIUM Fosco         ; PRETO ABSOLUTO-SUV              ; R756         ; SUVINIL                ; SUVINIL                ;             ;        ;         ;        ;      ;        ;  4144700;             3200   ;        3.2   ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; 0     ;                                                                                                                   ;     ; BE            ; BE            ; 10485760;      20.353;           20.353; BA            ; BA            ; 16777215;       3.01 ;            3.01 ; NO            ; NO            ;        0;     350.356;          350.356; VI            ; VI            ;  5189455;       0.256;            0.256;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 04/20/2026 12:35:52; 20260420123552773;              1;        1; C            ; C            ; Verginia PREMIUM Fosco         ; Verginia PREMIUM Fosco         ; BASALTE JV 30-0102              ; JV 30-0102   ; MAESTRIA Phenix        ; MAESTRIA Phenix        ;             ;        ;         ;        ;      ;        ;  4277572;            16000   ;       16     ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; 0     ;                                                                                                                   ;     ; JO            ; JO            ;    39372;     473.72 ;          473.72 ; RH            ; RH            ;     9366;      10.799;           10.799; NO            ; NO            ;        0;    1290.281;         1290.281;               ;               ;         ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 04/20/2026 12:29:04; 20260420122904391;              1;        1; C            ; C            ; Verginia PREMIUM Fosco         ; Verginia PREMIUM Fosco         ; BASALTE JV 30-0102              ; JV 30-0102   ; MAESTRIA Phenix        ; MAESTRIA Phenix        ;             ;        ;         ;        ;      ;        ;  4277572;            16000   ;       16     ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; -1    ; Remove : Job removed                                                                                              ;     ; JO            ; JO            ;    39372;     473.72 ;            0    ; RH            ; RH            ;     9366;      10.799;            0    ; NO            ; NO            ;        0;    1290.281;            0    ;               ;               ;         ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 04/20/2026 12:19:13; 20260420121913829;              1;        1; C            ; C            ; Verginia PREMIUM Fosco         ; Verginia PREMIUM Fosco         ; BASALTE JV 30-0102              ; JV 30-0102   ; MAESTRIA Phenix        ; MAESTRIA Phenix        ;             ;        ;         ;        ;      ;        ;  4277572;            16000   ;       16     ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; 0     ;                                                                                                                   ;     ; JO            ; JO            ;    39372;     473.72 ;          473.72 ; RH            ; RH            ;     9366;      10.799;           10.799; NO            ; NO            ;        0;    1290.281;         1290.281;               ;               ;         ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 04/20/2026 12:14:59; 20260420121459181;              1;        1; C            ; C            ; Verginia PREMIUM Fosco         ; Verginia PREMIUM Fosco         ; BASALTE JV 30-0102              ; JV 30-0102   ; MAESTRIA Phenix        ; MAESTRIA Phenix        ;             ;        ;         ;        ;      ;        ;  4277572;            16000   ;       16     ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; -1    ; Remove : Job removed                                                                                              ;     ; JO            ; JO            ;    39372;     473.72 ;            0    ; RH            ; RH            ;     9366;      10.799;            0    ; NO            ; NO            ;        0;    1290.281;            0    ;               ;               ;         ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 04/18/2026 08:20:47; 20260418082047275;              1;        1; B            ; B            ; Verginia PREMIUM Fosco         ; Verginia PREMIUM Fosco         ; NANQUIM-SUV                     ; E161         ; SUVINIL                ; SUVINIL                ;             ;        ;         ;        ;      ;        ;  8817031;            16000   ;       16     ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; 0     ;                                                                                                                   ;     ; BA            ; BA            ; 16777215;     454.455;          454.455; JO            ; JO            ;    39372;     161.53 ;          161.53 ; RH            ; RH            ;     9366;       8.438;            8.438; NO            ; NO            ;        0;     532.809;          532.809;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 04/18/2026 08:16:21; 20260418081621215;              1;        1; B            ; B            ; Verginia PREMIUM Fosco         ; Verginia PREMIUM Fosco         ; NANQUIM-SUV                     ; E161         ; SUVINIL                ; SUVINIL                ;             ;        ;         ;        ;      ;        ;  8817031;            16000   ;       16     ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; -1    ; V0200103 : Colorant NO exceeds canister current capacity for dispensing.                                          ;     ; BA            ; BA            ; 16777215;     454.455;            0    ; JO            ; JO            ;    39372;     161.53 ;            0    ; RH            ; RH            ;     9366;       8.438;            0    ; NO            ; NO            ;        0;     532.809;            0    ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
A3-HS      ; 04/16/2026 17:55:46; 20260416175546224;              1;        1; B            ; B            ; Verginia PREMIUM Fosco         ; Verginia PREMIUM Fosco         ; TOMILHO-SUV                     ; E303         ; SUVINIL                ; SUVINIL                ;             ;        ;         ;        ;      ;        ;  7511701;             3200   ;        3.2   ; L       ;            1; DefaultPaintType;               0; 08/25/2025 00:00:00;                                                      ;        ; 0     ;                                                                                                                   ;     ; BA            ; BA            ; 16777215;      37.49 ;           37.49 ; JO            ; JO            ;    39372;     168.68 ;          168.68 ; NO            ; NO            ;        0;      19.47 ;           19.47 ; VR            ; VR            ;    26112;      22.546;           22.546;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;               ;               ;     ;            ;                 ;           ;         ;          ;            ;           ;                 ; 2507070A3HS008
